id,gameType,type,points,t1Points,t1Multiplier,t2Points,t2Multiplier,t3Points,t3Multiplier
1,CLASSIC,DOUBLE,170,20,TRIPLE,20,TRIPLE,25,DOUBLE
2,CLASSIC,DOUBLE,167,20,TRIPLE,19,TRIPLE,25,DOUBLE
3,CLASSIC,DOUBLE,164,20,TRIPLE,18,TRIPLE,25,DOUBLE
4,CLASSIC,DOUBLE,161,20,TRIPLE,17,TRIPLE,25,DOUBLE
5,CLASSIC,DOUBLE,160,20,TRIPLE,20,TRIPLE,20,DOUBLE
6,CLASSIC,DOUBLE,158,20,TRIPLE,20,TRIPLE,19,DOUBLE
7,CLASSIC,DOUBLE,157,20,TRIPLE,19,TRIPLE,20,DOUBLE
8,CLASSIC,DOUBLE,156,20,TRIPLE,20,TRIPLE,18,DOUBLE
9,CLASSIC,DOUBLE,155,20,TRIPLE,19,TRIPLE,19,DOUBLE
10,CLASSIC,DOUBLE,154,20,TRIPLE,18,TRIPLE,20,DOUBLE
11,CLASSIC,DOUBLE,153,20,TRIPLE,19,TRIPLE,18,DOUBLE
12,CLASSIC,DOUBLE,152,20,TRIPLE,20,TRIPLE,16,DOUBLE
13,CLASSIC,DOUBLE,151,20,TRIPLE,17,TRIPLE,20,DOUBLE
14,CLASSIC,DOUBLE,150,20,TRIPLE,18,TRIPLE,18,DOUBLE
15,CLASSIC,DOUBLE,149,20,TRIPLE,19,TRIPLE,16,DOUBLE
16,CLASSIC,DOUBLE,148,20,TRIPLE,16,TRIPLE,20,DOUBLE
17,CLASSIC,DOUBLE,147,20,TRIPLE,17,TRIPLE,18,DOUBLE
18,CLASSIC,DOUBLE,146,19,TRIPLE,19,TRIPLE,16,DOUBLE
19,CLASSIC,DOUBLE,145,19,TRIPLE,20,TRIPLE,14,DOUBLE
20,CLASSIC,DOUBLE,144,20,TRIPLE,20,TRIPLE,12,DOUBLE
21,CLASSIC,DOUBLE,143,20,TRIPLE,17,TRIPLE,16,DOUBLE
22,CLASSIC,DOUBLE,142,18,TRIPLE,20,TRIPLE,14,DOUBLE
23,CLASSIC,DOUBLE,141,20,TRIPLE,19,TRIPLE,12,DOUBLE
24,CLASSIC,DOUBLE,140,20,TRIPLE,20,TRIPLE,10,DOUBLE
25,CLASSIC,DOUBLE,139,19,TRIPLE,14,TRIPLE,20,DOUBLE
26,CLASSIC,DOUBLE,138,20,TRIPLE,18,TRIPLE,12,DOUBLE
27,CLASSIC,DOUBLE,137,20,TRIPLE,15,TRIPLE,16,DOUBLE
28,CLASSIC,DOUBLE,136,20,TRIPLE,20,TRIPLE,8,DOUBLE
29,CLASSIC,DOUBLE,135,25,SINGLE,20,TRIPLE,25,DOUBLE
30,CLASSIC,DOUBLE,134,20,TRIPLE,14,TRIPLE,16,DOUBLE
31,CLASSIC,DOUBLE,133,20,TRIPLE,11,TRIPLE,20,DOUBLE
32,CLASSIC,DOUBLE,132,25,DOUBLE,14,TRIPLE,20,DOUBLE
33,CLASSIC,DOUBLE,131,20,TRIPLE,13,TRIPLE,16,DOUBLE
34,CLASSIC,DOUBLE,130,20,TRIPLE,20,TRIPLE,5,DOUBLE
35,CLASSIC,DOUBLE,129,19,TRIPLE,16,TRIPLE,12,DOUBLE
36,CLASSIC,DOUBLE,128,18,TRIPLE,14,TRIPLE,16,DOUBLE
37,CLASSIC,DOUBLE,127,20,TRIPLE,17,TRIPLE,8,DOUBLE
38,CLASSIC,DOUBLE,126,19,TRIPLE,19,TRIPLE,6,DOUBLE
39,CLASSIC,DOUBLE,125,25,DOUBLE,17,TRIPLE,12,DOUBLE
40,CLASSIC,DOUBLE,124,20,TRIPLE,16,TRIPLE,8,DOUBLE
41,CLASSIC,DOUBLE,123,19,TRIPLE,16,TRIPLE,9,DOUBLE
42,CLASSIC,DOUBLE,122,18,TRIPLE,18,TRIPLE,7,DOUBLE
43,CLASSIC,DOUBLE,121,20,TRIPLE,11,TRIPLE,14,DOUBLE
44,CLASSIC,DOUBLE,120,20,TRIPLE,20,SINGLE,20,DOUBLE
45,CLASSIC,DOUBLE,119,19,TRIPLE,12,TRIPLE,13,DOUBLE
46,CLASSIC,DOUBLE,118,20,TRIPLE,18,SINGLE,20,DOUBLE
47,CLASSIC,DOUBLE,117,20,TRIPLE,17,SINGLE,20,DOUBLE
48,CLASSIC,DOUBLE,116,20,TRIPLE,16,SINGLE,20,DOUBLE
49,CLASSIC,DOUBLE,115,20,TRIPLE,15,SINGLE,20,DOUBLE
50,CLASSIC,DOUBLE,114,20,TRIPLE,14,SINGLE,20,DOUBLE
51,CLASSIC,DOUBLE,113,19,TRIPLE,16,SINGLE,20,DOUBLE
52,CLASSIC,DOUBLE,112,20,TRIPLE,12,SINGLE,20,DOUBLE
53,CLASSIC,DOUBLE,111,20,TRIPLE,11,SINGLE,20,DOUBLE
54,CLASSIC,DOUBLE,110,20,TRIPLE,10,SINGLE,20,DOUBLE
55,CLASSIC,DOUBLE,109,20,TRIPLE,9,SINGLE,20,DOUBLE
56,CLASSIC,DOUBLE,108,20,TRIPLE,16,SINGLE,16,DOUBLE
57,CLASSIC,DOUBLE,107,19,TRIPLE,18,SINGLE,16,DOUBLE
58,CLASSIC,DOUBLE,106,20,TRIPLE,14,SINGLE,16,DOUBLE
59,CLASSIC,DOUBLE,105,20,TRIPLE,13,SINGLE,16,DOUBLE
60,CLASSIC,DOUBLE,104,18,TRIPLE,18,SINGLE,16,DOUBLE
61,CLASSIC,DOUBLE,103,19,TRIPLE,14,SINGLE,16,DOUBLE
62,CLASSIC,DOUBLE,102,20,TRIPLE,10,SINGLE,16,DOUBLE
63,CLASSIC,DOUBLE,101,20,TRIPLE,9,SINGLE,16,DOUBLE
64,CLASSIC,DOUBLE,100,20,TRIPLE,20,DOUBLE,,
65,CLASSIC,DOUBLE,99,19,TRIPLE,10,SINGLE,16,DOUBLE
66,CLASSIC,DOUBLE,98,20,TRIPLE,19,DOUBLE,,
67,CLASSIC,DOUBLE,97,19,TRIPLE,20,DOUBLE,,
68,CLASSIC,DOUBLE,96,20,TRIPLE,18,DOUBLE,,
69,CLASSIC,DOUBLE,95,19,TRIPLE,19,DOUBLE,,
70,CLASSIC,DOUBLE,94,18,TRIPLE,20,DOUBLE,,
71,CLASSIC,DOUBLE,93,19,TRIPLE,18,DOUBLE,,
72,CLASSIC,DOUBLE,92,20,TRIPLE,16,DOUBLE,,
73,CLASSIC,DOUBLE,91,17,TRIPLE,20,DOUBLE,,
74,CLASSIC,DOUBLE,90,20,TRIPLE,15,DOUBLE,,
75,CLASSIC,DOUBLE,89,19,TRIPLE,16,DOUBLE,,
76,CLASSIC,DOUBLE,88,20,TRIPLE,14,DOUBLE,,
77,CLASSIC,DOUBLE,87,17,TRIPLE,18,DOUBLE,,
78,CLASSIC,DOUBLE,86,18,TRIPLE,16,DOUBLE,,
79,CLASSIC,DOUBLE,85,15,TRIPLE,20,DOUBLE,,
80,CLASSIC,DOUBLE,84,20,TRIPLE,12,DOUBLE,,
81,CLASSIC,DOUBLE,83,17,TRIPLE,16,DOUBLE,,
82,CLASSIC,DOUBLE,82,25,DOUBLE,16,DOUBLE,,
83,CLASSIC,DOUBLE,81,19,TRIPLE,12,DOUBLE,,
84,CLASSIC,DOUBLE,80,20,TRIPLE,10,DOUBLE,,
85,CLASSIC,DOUBLE,79,19,TRIPLE,11,DOUBLE,,
86,CLASSIC,DOUBLE,78,18,TRIPLE,12,DOUBLE,,
87,CLASSIC,DOUBLE,77,19,TRIPLE,10,DOUBLE,,
88,CLASSIC,DOUBLE,76,20,TRIPLE,8,DOUBLE,,
89,CLASSIC,DOUBLE,75,17,TRIPLE,12,DOUBLE,,
90,CLASSIC,DOUBLE,74,14,TRIPLE,16,DOUBLE,,
91,CLASSIC,DOUBLE,73,17,TRIPLE,11,DOUBLE,,
92,CLASSIC,DOUBLE,72,16,TRIPLE,12,DOUBLE,,
93,CLASSIC,DOUBLE,71,13,TRIPLE,16,DOUBLE,,
94,CLASSIC,DOUBLE,70,18,TRIPLE,8,DOUBLE,,
95,CLASSIC,DOUBLE,69,15,TRIPLE,12,DOUBLE,,
96,CLASSIC,DOUBLE,68,20,TRIPLE,4,DOUBLE,,
97,CLASSIC,DOUBLE,67,17,TRIPLE,8,DOUBLE,,
98,CLASSIC,DOUBLE,66,10,TRIPLE,18,DOUBLE,,
99,CLASSIC,DOUBLE,65,11,TRIPLE,16,DOUBLE,,
100,CLASSIC,DOUBLE,64,16,TRIPLE,8,DOUBLE,,
101,CLASSIC,DOUBLE,63,13,TRIPLE,12,DOUBLE,,
102,CLASSIC,DOUBLE,62,10,TRIPLE,16,DOUBLE,,
103,CLASSIC,DOUBLE,61,15,TRIPLE,8,DOUBLE,,
104,CLASSIC,DOUBLE,60,20,SINGLE,20,DOUBLE,,
105,CLASSIC,DOUBLE,59,19,SINGLE,20,DOUBLE,,
106,CLASSIC,DOUBLE,58,18,SINGLE,20,DOUBLE,,
107,CLASSIC,DOUBLE,57,17,SINGLE,20,DOUBLE,,
108,CLASSIC,DOUBLE,56,16,SINGLE,20,DOUBLE,,
109,CLASSIC,DOUBLE,55,15,SINGLE,20,DOUBLE,,
110,CLASSIC,DOUBLE,54,14,SINGLE,20,DOUBLE,,
111,CLASSIC,DOUBLE,53,13,SINGLE,20,DOUBLE,,
112,CLASSIC,DOUBLE,52,12,SINGLE,20,DOUBLE,,
113,CLASSIC,DOUBLE,51,19,SINGLE,16,DOUBLE,,
114,CLASSIC,DOUBLE,50,18,SINGLE,16,DOUBLE,,
115,CLASSIC,DOUBLE,49,9,SINGLE,20,DOUBLE,,
116,CLASSIC,DOUBLE,48,16,SINGLE,16,DOUBLE,,
117,CLASSIC,DOUBLE,47,15,SINGLE,16,DOUBLE,,
118,CLASSIC,DOUBLE,46,14,SINGLE,16,DOUBLE,,
119,CLASSIC,DOUBLE,45,13,SINGLE,16,DOUBLE,,
120,CLASSIC,DOUBLE,44,12,SINGLE,16,DOUBLE,,
121,CLASSIC,DOUBLE,43,11,SINGLE,16,DOUBLE,,
122,CLASSIC,DOUBLE,42,10,SINGLE,16,DOUBLE,,
